symbol,symbol_ns,company_name,sector,industry,series,isin,source
INDIACEM,INDIACEM.NS,India Cements Ltd.,Construction Materials,Construction Materials,EQ,INE383A01012,nse_nifty500
INDIAMART,INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services,Consumer Services,EQ,INE933S01016,nse_nifty500
INDIANB,INDIANB.NS,Indian Bank,Financial Services,Financial Services,EQ,INE562A01011,nse_nifty500
IEX,IEX.NS,Indian Energy Exchange Ltd.,Financial Services,Financial Services,EQ,INE022Q01020,nse_nifty500
INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,Consumer Services,EQ,INE053A01029,nse_nifty500
IOC,IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE242A01010,nse_nifty500
IOB,IOB.NS,Indian Overseas Bank,Financial Services,Financial Services,EQ,INE565A01014,nse_nifty500
IRCTC,IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,Consumer Services,EQ,INE335Y01020,nse_nifty500
IRFC,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,Financial Services,EQ,INE053F01010,nse_nifty500
IREDA,IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services,Financial Services,EQ,INE202E01016,nse_nifty500
IGL,IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE203G01027,nse_nifty500
INDUSTOWER,INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication,Telecommunication,EQ,INE121J01017,nse_nifty500
INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,Financial Services,EQ,INE095A01012,nse_nifty500
NAUKRI,NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,Consumer Services,EQ,INE663F01032,nse_nifty500
INFY,INFY.NS,Infosys Ltd.,Information Technology,Information Technology,EQ,INE009A01021,nse_nifty500
INOXWIND,INOXWIND.NS,Inox Wind Ltd.,Capital Goods,Capital Goods,EQ,INE066P01011,nse_nifty500
